Time,outdoor_temperature,outdoor_temperature_average24h,energy_manager_state,system_off,index,desired_room_temperature_setpoint_heating,desired_room_temperature_setpoint,current_room_temperature,current_room_humidity,current_special_function,heating_state,circuit_state,current_circuit_flow_temperature,heating_circuit_flow_setpoint,calculated_energy_manager_state,current_dhw_temperature
2024-06-11 02:14:00.425446,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,27.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:15:00.403041,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,27.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:16:00.587738,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,27.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:17:00.395119,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,27.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:18:00.703589,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,27.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:19:00.513787,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,26.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:20:03.554316,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,26.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:21:00.475914,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,26.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:22:01.440289,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,26.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:23:00.468228,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,26.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:24:00.553603,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,26.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:25:00.719103,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,25.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:26:00.502113,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,25.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:27:00.458460,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,25.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:28:01.595384,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,25.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:29:00.446214,9.707031,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,25.0,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:30:00.440970,9.855469,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,24.5,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:31:00.777816,9.855469,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,24.5,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:32:00.424798,9.855469,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,24.5,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:33:00.432099,9.855469,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,24.5,29.648489,HEATING_ACTIVE,45.0
2024-06-11 02:34:00.649219,9.855469,12.582031,HEATING,False,255,19.0,19.0,18.9375,49.0,REGULAR,HEATING_UP,HEATING,24.5,29.648489,HEATING_ACTIVE,45.0
